Jin Air Green Wings,JAG,SoHwan,1515,1505,29,29,UmTi,1514,1531,47,52,Grace,1435,1478,6,3,Teddy,1513,1525,52,55,Wraith,1503,1564,88,81
bbq Olivers,bbq,Crazy,1537,1353,89,92,Trick,1621,1578,116,108,Tempt,1535,1347,86,92,Ghost,1532,1350,54,64,IgNar,1617,1448,83,79
KT Rolster,KT,Smeb,1710,1616,183,165,Score,1700,1599,184,162,PawN,1716,1606,149,145,Deft,1724,1605,191,175,Mata,1710,1591,194,185
ROX Tigers,ROX,Lindarang,1482,1432,46,43,Seonghwan,1446,1450,47,37,Lava,1474,1428,20,18,Sangyoon,1502,1441,124,130,Key,1496,1417,86,85
Afreeca Freecs,AFs,Kiin,1482,1503,22,24,Spirit,1598,1523,158,148,kurO,1616,1598,169,155,Kramer,1591,1524,113,110,TusiN,1573,1542,83,78
MVP,MVP,ADD,1397,1469,77,86,Beyond,1397,1469,77,86,Ian,1397,1469,77,86,Pilot,1458,1425,86,93,Max KR,1396,1473,80,88
Kongdoo Monster,KDM,Roach,1492,1394,44,49,Raise,1517,1415,11,8,Edge,1480,1384,66,76,SSol,1480,1384,62,70,Secret,1439,1335,49,52
SK Telecom T1,SKT,Thal,1500,1357,10,12,blank,1691,1614,71,92,Faker,1696,1617,197,208,Bang,1695,1610,201,216,Wolf,1720,1681,189,198
KSV Esports,KSV,CuVee,1706,1654,173,160,Ambition,1722,1661,157,146,Crown,1732,1655,154,143,Ruler,1737,1664,103,101,CoreJJ,1747,1694,84,77
