Galakticos,GAL,Rare,1227,28,Neo,1338,18,Backlund,1375,31,J1mmy,1227,28,Veux,1233,22
Gen.G,Gen.G,CuVee,1744,438,Haru,1687,146,Crown,1736,359,Ruler,1742,305,CoreJJ,1741,335
Giants,GIA,Ruin,1455,58,Djoko,1413,102,Betsy,1435,204,Steeelback,1420,205,Sirnukesalot,1385,23
Golden Guardians,GGS,Lourlo,1454,230,Contractz,1563,168,Mickey,1525,277,Deftly,1474,101,Matt,1456,220
Golden Guardians Academy,GGS.A,Zig,1446,188,Potluck,1258,36,bobqin,1251,38,Benji,1447,143,Sheep,1392,90
Griffin,FIN,Sword,1753,69,Tarzan,1753,69,Chovy,1758,51,Viper,1753,69,Lehends,1757,74
H2k-Gaming,H2k,SmittyJ,1458,153,Caedrel,1481,58,Selfie,1474,149,Shook,1419,221,Promisq,1394,166
HWA Gaming,,Armut,1505,61,Trix,1505,61,telracS,1515,63,Innaxe,1469,61,Revanche,1501,57
Hanwha Life Esports,HLE,Lindarang,1641,166,Seonghwan,1640,160,Lava,1638,114,Sangyoon,1641,341,Key,1641,249
Invictus Gaming,iG,TheShy,1931,107,Ning,1898,187,Rookie,1896,449,JackeyLove,1914,128,Baolan,1893,250
JD Gaming,JDG,Zoom,1684,123,Clid,1686,167,Yagao,1684,123,LokeN,1675,204,LvMao,1682,159
Jin Air Green Wings,JAG,SoHwan,1537,134,UmTi,1543,171,Grace,1533,80,Teddy,1534,183,Nova,1494,59
KIYF,KIYF,Orome,1524,36,Khantos,1437,5,ZaZee,1526,36,Carzzy,1524,36,labrov,1522,22
KT Rolster,KT,Smeb,1872,457,Score,1868,442,Ucal,1861,82,Deft,1867,480,Mata,1866,488
Kingzone DragonX,KZ,Khan,1803,170,Peanut,1845,323,Bdd,1794,235,PraY,1802,465,GorillA,1802,461
Kongdoo Monster,KDM,Roach,1368,133,Raise,1450,112,Edge,1360,183,SSol,1356,173,Secret,1335,147
LGD Gaming,LGD,Jinoo,1542,139,Eimy,1530,236,Yuuki,1533,85,Y4,1565,63,Pyl,1542,359
MAD Team,MAD,Liang,1513,84,Kongyue,1555,54,Uniboy,1524,89,Breeze,1500,152,K,1503,144
MVP,MVP,ADD,1457,239,Yondu,1459,244,Ian,1459,244,Pilot,1470,255,Motive,1460,8
Misfits,MIS,Alphari,1573,158,Maxlore,1568,180,Sencux,1567,203,Hans sama,1573,158,Mikyx,1568,178
OMG,OMG,Xiyang,1440,310,Jiekou,1470,66,icon,1435,235,Chelly,1406,74,Five,1440,299
OpTic Gaming Academy,OPT.A,Allorim,1425,53,Fanatiik,1332,17,Palafox,1309,36,Eclipse,1339,26,Gate,1401,197
Optic Gaming,OpTic,Dhokla,1516,47,Akaadian,1508,114,PowerOfEvil,1562,278,Arrow,1551,370,Big,1472,137
Phong Vu Buffalo,PVB,Zeros,1651,78,Meliodas,1628,33,Naul,1592,90,BigKoro,1592,90,Palette,1592,90
ROCCAT,ROC,Profit,1457,87,Memento,1464,129,Blanc,1424,75,HeaQ,1417,120,Norskeren,1508,76
Rogue Warriors,ROG,Mouse,1731,249,Flawless,1679,178,Doinb,1676,299,SmLz,1675,340,Killua,1690,113
Royal Bandits,RBE,Broken Blade,1699,76,Closer,1748,41,Abbedagge,1748,41,Freeze,1615,156,Dumbledoge,1690,118
Royal Never Give Up,RNG,LetMe,1811,289,Karsa,1797,262,xiaohu,1811,467,Uzi,1837,398,Ming,1811,265
SK Telecom T1,SKT,Thal,1651,94,blank,1690,232,Pirean,1500,111,Bang,1672,514,Effort,1665,67
SN Gaming,SNG,XiaoAL,1595,140,H4cker,1605,121,Angel,1610,36,Fury,1595,273,Yoon,1598,137
Snake Esports,SN,Flandre,1515,386,SofM,1515,225,Guoguo,1529,97,Light,1455,38,Maestro,1513,49
Splyce,SPY,Odoamne,1600,320,Xerxe,1596,164,Nisqy,1571,126,Kobbe,1584,219,KaSing,1570,234
SuperMassive,,Fabfabulous,1703,123,Stomaged,1698,129,GBM,1689,295,Zeitnot,1692,129,Snowflower,1698,337
TSM Academy,TSM.A,PieCakeLord,1405,21,MikeYeung,1524,97,Ablazeolive,1411,36,Mr RalleZ,1421,234,Shady,1396,59
Team Aurora,,Hioss,1370,28,Naru,1413,113,Xico,1575,37,Rain,1413,119,Rogu,1462,122
Team Liquid,TL,Impact,1785,358,Xmithie,1771,395,Pobelter,1771,374,Doublelift,1794,392,Olleh,1767,222
Team Liquid Academy,TL.A,V1PER,1521,45,Hard,1474,103,Insanity,1512,22,Shoryu,1521,45,Joey,1533,48
Team SoloMid,TSM,Hauntzer,1704,350,Grigne,1545,83,Bjergsen,1704,461,Zven,1681,328,Mithy,1681,336
Team WE,WE,957,1561,358,Condi,1579,368,xiye,1561,430,Mystic,1605,418,Missing,1402,24
Topsports Gaming,TOP,Moyu,1534,46,Xx,1537,73,Corn,1502,174,Qiuqiu,1506,132,CAT,1504,111
Unicorns Of Love,UoL,Whiteknight,1445,49,Kold,1510,208,Exileh,1529,201,Samux,1564,124,Totoro,1452,157
Vici Gaming,VG,Aodi,1374,48,Swift,1406,312,Coco,1498,254,Snow,1318,47,Xintai,1443,13
Vitality,VIT,Cabochard,1611,237,Kikis,1575,209,Jiizuke,1646,88,Attila,1646,88,Jacktroll,1645,86
YouthCrew Esports,,Elwind,1444,92,Sacage,1349,29,MagiFelix,1444,82,Madness,1449,74,Japone,1448,72
bbq Olivers,bbq,Crazy,1447,256,Trick,1549,289,Tempt,1446,252,Ghost,1459,188,IgNar,1475,242
