100 Thieves,100,ssumday,1647,392,AnDa,1585,57,Ryu,1640,339,Rikara,1527,96,Aphromoo,1649,434
100 Thieves Academy,100.A,Brandini,1450,76,Levi,1508,76,Linsanity,1471,42,Rikara,1527,96,Stunt,1530,61
1907 Fenerbahce,,Thaldrin,1549,117,Move,1556,169,Frozen,1528,205,Padden,1521,90,Zergsting,1510,68
Afreeca Freecs,AFs,Kiin,1727,153,Spirit,1735,390,kurO,1742,440,Kramer,1725,286,TusiN,1737,307
Bilibili Gaming,BLG,AmazingJ,1521,317,Chieftain,1540,55,Mole,1536,55,jinjiao,1521,249,Road,1525,222
Bursaspor Esports,BS,Ragner,1409,32,Stefan,1423,41,Milica,1423,41,Hades,1426,31,Tolerant,1410,34
CLG,CLG,Darshan,1568,396,Reignover,1511,285,Huhi,1576,270,Stixxay,1578,268,Biofrost,1658,229
CLG Academy,CLG.A,FallenBandit,1500,72,Wiggily,1555,98,Shadow,1569,139,Zag,1491,71,Fill,1491,71
Cloud 9,C9,Licorice,1709,139,Svenskeren,1739,433,Jensen,1748,337,Sneaky,1767,471,Zeyzal,1707,139
Cloud 9 Academy,C9.A,Shiro,1652,59,Svenskeren,1739,433,Goldenglue,1584,147,KEITH,1588,199,Feng,1589,41
Clutch Gaming,Clutch,Solo,1540,139,Lira,1531,299,Febiven,1556,310,Apollo,1529,331,Hakuho,1529,231
Clutch Gaming Academy,CG.A,Maxtrobo,1491,39,Moon,1480,179,Sun,1487,41,Piglet,1476,275,Vulcan,1448,41
Dark Passage,,Panky,1500,79,Kirei,1471,94,Humanoid,1536,27,Luger,1532,20,LongB,1533,35
EDward Gaming,EDG,Ray,1738,216,Haro,1708,98,Scout,1746,291,iBOY,1753,156,Meiko,1747,469
EVOS Esports,EVS,Stark,1622,116,YiJin,1609,94,Warzone,1604,100,Slay,1614,119,RonOP,1609,94
Echo Fox,FOX,Huni,1689,317,Dardoch,1629,236,Damonte,1548,73,Lost,1478,63,Smoothie,1666,257
Echo Fox Academy,EF.A,NintendudeX,1294,51,Spica,1423,6,Yusui,1347,18,Cake,1423,6,Mabrey,1412,9
FC Schalke 04,S04,Vizicsacsi,1598,314,Amazing,1542,316,Nukeduck,1552,233,UpseT,1592,99,VandeR,1585,323
Flash Wolves,FW,Hanabi,1908,80,MooJin,1902,106,Maple,1891,276,Betty,1901,204,SwordArt,1885,270
FlyQuest,FLY,Flame,1586,210,Santorin,1530,228,Keane,1574,266,WildTurtle,1562,418,JayJ,1589,51
FlyQuest Academy,FLY.A,Ngo,1522,53,Meteos,1621,291,Pekin Woof,1459,71,Erry,1522,53,Kwon,1470,60
Fnatic,FNC,Bwipo,1738,77,Broxah,1798,190,Caps,1796,199,Rekkles,1775,421,Hylissang,1785,346
For The Win eSports Club,FTW,FTWFrozen,1525,15,SevenArmy,1355,5,Xaky,1525,15,Lastwolf,1525,15,Plasma Lemon,1397,3
FunPlus Phoenix,FPX,Gimgoon,1515,211,Alex,1510,87,Cool,1520,273,Lwx,1534,165,Crisp,1534,134
G-Rex,GRX,Pk,1589,148,Empt2y,1580,33,Candy,1523,120,Stitch,1602,117,Koala,1589,148
G2 Esports,G2,Wunder,1680,237,Jankos,1691,402,Perkz,1701,300,Hjarnan,1673,237,Wadid,1670,150
