20180805;3;Swole Patrol;Gorilla Gang;16:4,17:19,16:4;7808-freakazoid,13188-Zellsis,15007-Cooper-,5021-swag,8513-yay;12089-Vanity,13249-oSee,13186-hydrex,13250-ben1337,12088-ryan;Overpass,Inferno,Train;Fragadelphia 12;2325425
20180805;3;Interstellar;Hysteria;5:16,9:16;17319-sid,13376-DreamZ,17198-Link,9827-Killpo1,13229-Snakes;14790-Mundle,16808-dangle,15126-RenZ,17358-HIA,17357-bite;Mirage,Cache;Fragadelphia 12;2325430
20180805;3;ownage;RESOLUTE;16:11,16:6;10470-m1tch,14619-Infinite,12271-moose,8517-Relyks,11586-dapr;13254-TenZ,9875-food,9085-Toy,9845-vSa,14365-s0m;Overpass,Train;Fragadelphia 12;2325428
20180805;3;Mythic;iNTACT;16:6,16:11;8503-fl0m,9882-Polen,8504-LeX,7438-anger,8347-hazed;15255-Swahn,17044-Noxio,11035-Turismo,14203-Shakezullah,15436-optimus;Overpass,Dust2;Fragadelphia 12;2325427
20180805;3;Vision;BlackOut;3:16,3:16;13584-lanhero,13585-huynh,13589-Spongey,10372-kaboose,12713-floppy;9660-CONNOR93,11238-Oderus,3886-seb,9884-wrath,12113-Jonji;Mirage,Cache;Fragadelphia 12;2325429
20180805;1;Gorilla Gang;Hooked;16:10;12089-Vanity,13249-oSee,13186-hydrex,13250-ben1337,12088-ryan;9259-witmer,13197-Laski,13182-xCeeD,12101-neptune,10374-mCe;Train;Fragadelphia 12;2325413
20180805;3;RESOLUTE;Dignitas fe;16:13,16:7;13254-TenZ,9875-food,9085-Toy,9845-vSa,14365-s0m;8640-EMUHLEET,8642-rain,8644-artStar,13324-milk,2648-CAth;Nuke,Mirage;Fragadelphia 12;2325421
20180805;3;Hysteria;Empire;19:15,10:16,16:11;14790-Mundle,16808-dangle,15126-RenZ,17358-HIA,17357-bite;16863-Jynxxz,16866-KOOKY,16865-Magic,16864-ChurmZ,16867-blackpinklisa;Mirage,Inferno,Overpass;Fragadelphia 12;2325416
20180805;3;BlackOut;Guerrilla Tactics;16:6,16:2;9660-CONNOR93,11238-Oderus,3886-seb,9884-wrath,12113-Jonji;11037-Ematics,2647-b33f,16685-FIEND,17378-ReckMONSTER,17320-ALEKSANDAR;Mirage,Overpass;Fragadelphia 12;2325420
20180805;3;Grizzlys;iNTACT;9:16,4:16;15236-NANO,17472-Kizy,17471-MkaeL,17470-M3lio,11948-INCREDIBLE;15255-Swahn,17044-Noxio,11035-Turismo,14203-Shakezullah,15436-optimus;Overpass,Nuke;Fragadelphia 12;2325415
20180805;3;Play4Lan;Battalion;Mirage,Inferno;17495-PLEEtS,17496-CHOT,17497-LEOZ,17498-Missau,17499-BEARD;11727-Spr,17500-DorfusCB,11728-s0mbra,17502-nut,17501-brutAo;"Default,10:16 (3:12; 7:4)STATS";Gamers Club Masters 2018 Paraná Qualifier;2325310
20180805;3;Andes;Evilvice;5:16,12:16;11534-LinKz,10800-FiReMaNNN,10013-Proxure,12932-mnzd,12398-alejandrinho;13488-akz,14639-fara,10019-LEEROY,10822-Tio,11505-rochet;Cache,Dust2;GSA Samsung 2018 Finals;2325364
20180804;3;Ignite;Dignitas fe;13:16,14:16;10373-recky,17095-1Mikey,14545-kuba,16597-4pack,16898-1flick;8640-EMUHLEET,8642-rain,8644-artStar,13324-milk,2648-CAth;Overpass,Mirage;Fragadelphia 12;2325410
20180804;3;RESOLUTE;Mentality;16:2,16:5;13254-TenZ,9875-food,9085-Toy,9845-vSa,14365-s0m;13257-dVeeN,15052-DaneJoris,13307-Strings,17096-BASE,15051-w0w;Nuke,Mirage;Fragadelphia 12;2325411
