20180809;3;EURONICS;x-kom;16:4,4:16,12:16;1064-crisby,3517-kzy,12782-kressy,14932-faveN,11701-mirbit;8538-stark,12699-STOMP,14670-Patitek,15428-Goofy,4829-mynio;Inferno,Overpass,Cache;X-BET.co Invitational 3;2325518
20180809;1;Animal Squad;Surge;5:16;8765-Lightstep,8776-CHRiSOAOW,8853-sibe,9095-busta,9097-RaZ;12917-Chub,14957-Mayker,17027-Chiswell,16531-tensai,12642-keeyto;Cache;ESL Australia & NZ Championship Season 7;2325489
20180809;1;Tainted Minds;Rise and Grind;16:5;8767-ofnu,8764-zewsy,2555-yam,11140-INS,9636-BURNRUOk;14955-Lacore,11493-sK,12083-YDNA,11492-Noisia,16305-Jamie;Nuke;ESL Australia & NZ Championship Season 7;2325482
20180809;1;Surge;Animal Squad;16:3;12917-Chub,14957-Mayker,17027-Chiswell,16531-tensai,12642-keeyto;8765-Lightstep,8776-CHRiSOAOW,8853-sibe,9095-busta,9097-RaZ;Inferno;ESL Australia & NZ Championship Season 7;2325488
20180809;1;Rise and Grind;Tainted Minds;9:16;14955-Lacore,11493-sK,12083-YDNA,11492-Noisia,16305-Jamie;8767-ofnu,8764-zewsy,2555-yam,11140-INS,9636-BURNRUOk;Overpass;ESL Australia & NZ Championship Season 7;2325480
20180809;3;Dynasty;studs;16:6,16:10;17230-jayzw0w,17231-Rackem,17233-samway,17232-SenpaiMadara,17234-jtr;11846-mswag,11843-BASS,12760-badge,17398-Tai,14289-RICHIE;Cache,Inferno;ESEA Open Season 28 Australia;2325504
20180809;1;AVANT;ORDER;10:16;8770-MoeycQ,9103-urbz,9104-DANZ,13054-zeph,14502-Prodigy;8744-emagine,9102-Sico,10588-liazz,11139-aliStair,11162-Hatz;Mirage;ESL Australia & NZ Championship Season 7;2325487
20180809;1;madlikewizards;Finesse;16:9;11494-Dezibel,11806-JD,14425-numky,17307-smooth_criminal22,12877-chelleos;17349-burk,17351-haidy,16321-Endr,17352-Tammer,17350-MozzieAu;Nuke;ESL Australia & NZ Championship Season 7;2325478
20180809;3;wNv;CyberZen;13:16,16:9,16:19;17537-Star1og,15334-zwin,13119-Koma,16779-Salopo,16559-4k;839-tb,180-Savage,7016-HZ,12365-Monster,15419-Viva;Mirage,Nuke,Inferno;eXTREMESLAND 2018 China Closed Qualifier;2325511
20180809;1;ORDER;AVANT;16:13;8744-emagine,9102-Sico,10588-liazz,11139-aliStair,11162-Hatz;8770-MoeycQ,9103-urbz,9104-DANZ,13054-zeph,14502-Prodigy;Dust2;ESL Australia & NZ Championship Season 7;2325486
20180809;1;Finesse;madlikewizards;13:16;17349-burk,17351-haidy,16321-Endr,17352-Tammer,17350-MozzieAu;11494-Dezibel,11806-JD,14425-numky,17307-smooth_criminal22,12877-chelleos;Mirage;ESL Australia & NZ Championship Season 7;2325477
20180809;3;ORDER;Tainted Minds;16:3,16:8;8744-emagine,9102-Sico,10588-liazz,11139-aliStair,11162-Hatz;8767-ofnu,8764-zewsy,2555-yam,11140-INS,9636-BURNRUOk;Mirage,Inferno;ESEA MDL Season 28 Australia;2325510
20180809;3;Kazek;Evilvice;10:16,3:16;12396-vicktor,17359-elemeNt,17360-byrf,17361-Sigl0ff,10820-gr3eps;13488-akz,14639-fara,10019-LEEROY,10822-Tio,11505-rochet;Inferno,Cache;Gamers Club Masters 2018 Southern Cone Qualifier;2325528
20180808;3;eNergy;Goliath;16:0,16:1;16811-MisteM,11629-flexeeee,9310-Domsterr,9744-kaNibalistic,7992-bLacKpoisoN;7994-deviaNt,2985-stYle,8448-Golz,17383-adaro,11848-massacRe;Inferno,Mirage;ESEA Open Season 28 South Africa;2325501
20180808;3;GoodJob;PLINK;10:16,2:16;13978-Coffee,13977-fnyekes,13976-boX,15474-SADZED,9669-dOBRIY;8724-1uke,12245-DarkS1DE,10589-rommi,13282-redhide,5469-moonsh1n3;Nuke,Inferno;Stream.me CIS Challenger League #2;2325496
20180808;1;HAVU;pro100;12:16;7775-juho,7821-sAw,9271-sLowi,11283-ottoNd,1378-zehN;9350-def,11515-kenzor,11250-Flarich,9349-AiyvaN,12269-Jyo;Overpass;OGA Counter PIT;2325397
20180808;3;Endpoint;fnatic Academy;16:8,16:8;8983-MiGHTYMAX,13018-Thomas,7700-robiin,7296-Puls3,12254-Luzuh;13298-AlekS,11304-Meddo,8989-MaTaFe,14558-ec1s,9905-luckeRRR;Overpass,Inferno;X-BET.co Invitational 3;2325388
20180808;1;AGO;pro100;4:16;11278-TOAO,11891-phr,8327-Furlan,8570-GruBy,973-SZPERO;9350-def,11515-kenzor,11250-Flarich,9349-AiyvaN,12269-Jyo;Mirage;OGA Counter PIT;2325394
20180808;3;x-kom;Smoke Criminals;16:13,9:16,22:20;8538-stark,12699-STOMP,14670-Patitek,15428-Goofy,4829-mynio;14199-Fearoth,12800-Xaisty,13626-buue,14198-lainNy,12159-Gauthierlelelele;Inferno,Mirage,Overpass;X-BET.co Invitational 3;2325387
20180808;1;Taboo;Legacy;8:16;12872-apocdud,14290-SkulL,16034-Dirty,11538-Jinxx,16010-minnii;12590-soju_j,12086-stat,12715-BL1TZ,9637-LONSDALE,12591-sterling;Cache;ESL Australia & NZ Championship Season 7;2325493
20180808;1;Ground Zero;Grayhound;;11801-Xtinct,11496-InJect,9676-NikkeZ,9110-kyoto,10587-InfrequeNt;9115-dexter,11141-erkaSt,9686-Gratisfaction,11485-malta,12876-Dickstacy;;ESL Australia & NZ Championship Season 7;2325476
20180808;1;Legacy;Taboo;16:12;12590-soju_j,12086-stat,12715-BL1TZ,9637-LONSDALE,12591-sterling;12872-apocdud,14290-SkulL,16034-Dirty,11538-Jinxx,16010-minnii;Inferno;ESL Australia & NZ Championship Season 7;2325492
20180808;1;Grayhound;Ground Zero;14:16;9115-dexter,11141-erkaSt,9686-Gratisfaction,11485-malta,12876-Dickstacy;11801-Xtinct,11496-InJect,9676-NikkeZ,9110-kyoto,10587-InfrequeNt;Mirage;ESL Australia & NZ Championship Season 7;2325475
20180808;1;Dynasty;SYF;5:16;17230-jayzw0w,17231-Rackem,17233-samway,17232-SenpaiMadara,17234-jtr;12594-Kronos,13056-moop,12889-eLUSIVE,16529-Llamas,12593-J1rah;Dust2;ESL Australia & NZ Championship Season 7;2325491
20180808;3;Grayhound;Rise and Grind;16:4,16:5;9115-dexter,11141-erkaSt,9686-Gratisfaction,11485-malta,12876-Dickstacy;14955-Lacore,11493-sK,12083-YDNA,11492-Noisia,14954-void;Inferno,Overpass;ESEA MDL Season 28 Australia;2325008
20180808;1;anime savants;Chiefs;8:16;12573-pan1K,13075-flaw,14333-ju1ces,17236-vanilla,17235-duz;9108-tucks,11847-Texta,11844-flickz,2007-ap0c,8766-dizzyLife;Mirage;ESL Australia & NZ Championship Season 7;2325474
20180808;3;AVANT;Devious;16:1,16:4;8770-MoeycQ,9103-urbz,9104-DANZ,13054-zeph,10163-pecks;17307-smooth_criminal22,17392-rekonz,17389-tye,17390-ADK,17391-Laes;Overpass,Mirage;ESEA Open Season 28 Australia;2325360
20180808;1;SYF;Dynasty;7:16;12594-Kronos,13056-moop,12889-eLUSIVE,16529-Llamas,12593-J1rah;17230-jayzw0w,17231-Rackem,17233-samway,17232-SenpaiMadara,17234-jtr;Inferno;ESL Australia & NZ Championship Season 7;2325490
20180808;1;Chiefs;anime savants;16:10;9108-tucks,11847-Texta,11844-flickz,2007-ap0c,8766-dizzyLife;12573-pan1K,13075-flaw,14333-ju1ces,17236-vanilla,17235-duz;Train;ESL Australia & NZ Championship Season 7;2325473
20180808;3;ETHEREAL;Vault;16:7,23:25,16:8;17379-fdeN,17381-rongcho,17380-snim,10704-nutters,15576-Jindoke;9214-spamzz,10347-Daveys,9213-sickLy,7861-cRUZj,16006-GMAN;Inferno,Train,Cache;ESEA Advanced Season 28 North America;2325214
