20180612;1-0:blue;MVP;bbq Olivers;ADD,Yondu,Ian,Pilot,Max;Crazy,bono,Tempt,Aries,IgNar;32.27;3;KR;LCK Summer 2018;http://www.gamesoflegends.com/game/gameshow.php?id=11676;http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/720143?gameHash=87961f73ecec0bc9 
20180611;1-0:blue;KIYF;Asus ROG Army;Orome,Aesthetic,ZaZee,Carzzy,Rufus;Kaze,Kadir,Lukezy,Sedrion,Prime;34.67;2;ES;LVP Summer 2018;http://www.gamesoflegends.com/game/gameshow.php?id=11873;http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/770090?gameHash=c0ca600c722a04ab 
20180611;1-0:blue;Asus ROG Army;KIYF;Kaze,Kadir,Lukezy,Sedrion,Prime;Orome,Aesthetic,ZaZee,Carzzy,Rufus;21.55;2;ES;LVP Summer 2018;http://www.gamesoflegends.com/game/gameshow.php?id=11874;http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/770092?gameHash=06c267a47381914b 
20180611;1-0:blue;Penguins;Dragons E.C;Glebo,Ippon,Siler,Javaaa,Karakal Jr;Sacre,Hero,Sertuss,Barcode,Homi;30.18;2;ES;LVP Summer 2018;http://www.gamesoflegends.com/game/gameshow.php?id=11871;http://matchhistory.na.leagueoflegends.com/en/#match-details/EUW1/3666090558 
20180611;1-0:blue;Dragons E.C;Penguins;Sacre,Hero,Sertuss,Barcode,Homi;Glebo,Ippon,Siler,Javaaa,Karakal Jr;24.58;2;ES;LVP Summer 2018;http://www.gamesoflegends.com/game/gameshow.php?id=11872;http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/770086?gameHash=8a33f45f3ba63797 
20180611;0-1:red;Vici Gaming;Bilibili Gaming;Aodi,Swift,FireRain,Snow,Caveman;AmazingJ,Chieftain,Mole,jinjiao,road;35.45;3;CN;LPL Summer 2018;http://www.gamesoflegends.com/game/gameshow.php?id=11747;
20180611;0-1:red;Bilibili Gaming;Vici Gaming;AmazingJ,Chieftain,Mole,jinjiao,road;Aodi,Swift,FireRain,Snow,Caveman;39.65;3;CN;LPL Summer 2018;http://www.gamesoflegends.com/game/gameshow.php?id=11748;
20180611;0-1:red;Vici Gaming;Bilibili Gaming;Aodi,Swift,FireRain,Snow,Caveman;AmazingJ,M1anhua,Athena,jinjiao,road;31.15;3;CN;LPL Summer 2018;http://www.gamesoflegends.com/game/gameshow.php?id=11749;
20180611;1-0:blue;Invictus Gaming;JD Gaming;Duke,Ning,RooKie,JackeyLove,Baolan;Zoom,Clid,Yagao,LokeN,LvMao;23.35;3;CN;LPL Summer 2018;http://www.gamesoflegends.com/game/gameshow.php?id=11744;
20180611;0-1:red;Invictus Gaming;JD Gaming;Duke,Ning,RooKie,JackeyLove,Baolan;Zoom,Clid,Yagao,LokeN,LvMao;25.98;3;CN;LPL Summer 2018;http://www.gamesoflegends.com/game/gameshow.php?id=11745;
20180611;1-0:blue;Invictus Gaming;JD Gaming;Duke,Ning,RooKie,JackeyLove,Baolan;Zoom,Clid,Yagao,LokeN,LvMao;23.35;3;CN;LPL Summer 2018;http://www.gamesoflegends.com/game/gameshow.php?id=11746;
20180610;0-1:red;Flamengo eSports;IDM Gaming;Jisu,Shrimp,Goku,brTT,esA;Fitz,Cariok,Anyyy,Sarkis,Cabu;44.08;3;BR;CBLOL Winter 2018;http://www.gamesoflegends.com/game/gameshow.php?id=11900;http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/730138?gameHash=c1c5d4cba1862938 
20180610;0-1:red;IDM Gaming;Flamengo eSports;Fitz,Cariok,Anyyy,Sarkis,Cabu;Jisu,Shrimp,Goku,brTT,esA;28.03;3;BR;CBLOL Winter 2018;http://www.gamesoflegends.com/game/gameshow.php?id=11901;http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/730146?gameHash=bf47066ed4ade29b 
20180610;0-1:red;Flamengo eSports;IDM Gaming;Jisu,Shrimp,Goku,brTT,esA;Fitz,Cariok,Anyyy,Sarkis,Cabu;32.38;3;BR;CBLOL Winter 2018;http://www.gamesoflegends.com/game/gameshow.php?id=11902;http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/730149?gameHash=c3bc29f59a13d5ca 
20180610;1-0:blue;CNB e-Sports Club;Red Canids;Robo,Turtle,Brucer,pbO,Baiano;LEP,Chaser,Sky,Sacy,Loop;34.17;3;BR;CBLOL Winter 2018;http://www.gamesoflegends.com/game/gameshow.php?id=11897;http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/730127?gameHash=73cef58943c286b9 
20180610;0-1:red;Red Canids;CNB e-Sports Club;LEP,Chaser,Sky,Sacy,Loop;Robo,Turtle,Rakin,pbO,Baiano;25.45;3;BR;CBLOL Winter 2018;http://www.gamesoflegends.com/game/gameshow.php?id=11898;http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/730134?gameHash=41ff21c411ed594a 
20180609;1-0:blue;Vivo Keyd;ProGaming eSports;yang,Revolta,Tockers,micaO,Jockster;SkyBart,Minerva,Lynkez,LUSKKA,Professor;27.1;3;BR;CBLOL Winter 2018;http://www.gamesoflegends.com/game/gameshow.php?id=11894;http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/730097?gameHash=7da59855edb5a619 
20180609;0-1:red;ProGaming eSports;Vivo Keyd;SkyBart,Minerva,Vert,LUSKKA,Professor;yang,Revolta,Tockers,micaO,Jockster;32.67;3;BR;CBLOL Winter 2018;http://www.gamesoflegends.com/game/gameshow.php?id=11895;http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/730103?gameHash=399bc1ebdfefe478 
20180609;1-0:blue;INTZ eSports;KaBuM! e-Sports;Tay,Shini,Envy,Absolut,RedBert;Zantins,Ranger,dyNquedo,Titan,Wos;28.6;3;BR;CBLOL Winter 2018;http://www.gamesoflegends.com/game/gameshow.php?id=11891;http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/730084?gameHash=817fa160b5248d08 
20180609;1-0:blue;KaBuM! e-Sports;INTZ eSports;Zantins,Ranger,dyNquedo,Titan,Wos;Tay,Shini,Envy,Absolut,RedBert;31.12;3;BR;CBLOL Winter 2018;http://www.gamesoflegends.com/game/gameshow.php?id=11892;http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/730095?gameHash=d958692f5dbcee5d 
20180609;1-0:blue;INTZ eSports;KaBuM! e-Sports;Tay,Shini,Envy,Absolut,RedBert;Zantins,Ranger,dyNquedo,Titan,Wos;34.2;3;BR;CBLOL Winter 2018;http://www.gamesoflegends.com/game/gameshow.php?id=11893;http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/730096?gameHash=5b7c54efb7d3a0d6 
20180609;1-0:blue;Dire Wolves;Order;BioPanther,Shernfire,Triple,k1ng,Cupcake;Tally,Spookz,Swiffer,FBI,Rogue;48.35;3;OCE;OPL Split 2 2018;http://www.gamesoflegends.com/game/gameshow.php?id=11827;http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/730069?gameHash=ccab95237198153d 
20180609;1-0:blue;Order;Dire Wolves;Tally,Spookz,Swiffer,FBI,Rogue;BioPanther,Shernfire,Triple,k1ng,Cupcake;36.0;3;OCE;OPL Split 2 2018;http://www.gamesoflegends.com/game/gameshow.php?id=11828;http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/730077?gameHash=4a7d1a976c5f0bc2 
