Avant Garde,Legacy eSports,20180216,3,1.68,N/a,2.10,http://www.oddsportal.com/esports/australia/league-of-legends-oceanic-pro-league/avant-garde-league-of-legends-legacy-esports-league-of-legends-AucFu82S/
ORDER,LG Dire Wolves,20180211,3,2.27,N/a,1.59,http://www.oddsportal.com/esports/australia/league-of-legends-oceanic-pro-league/order-league-of-legends-lg-dire-wolves-league-of-legends-WlbBtlmM/
Sin Gaming,Bombers,20180211,3,2.48,N/a,1.50,http://www.oddsportal.com/esports/australia/league-of-legends-oceanic-pro-league/sin-gaming-league-of-legends-bombers-league-of-legends-ED36sUXF/
Chiefs Esports Club,Legacy eSports,20180210,3,1.50,N/a,2.48,http://www.oddsportal.com/esports/australia/league-of-legends-oceanic-pro-league/chiefs-esports-club-league-of-legends-legacy-esports-league-of-legends-zN42rAI9/
Avant Garde,Tectonic,20180210,3,1.14,N/a,5.13,http://www.oddsportal.com/esports/australia/league-of-legends-oceanic-pro-league/avant-garde-league-of-legends-tectonic-league-of-legends-t05bqj33/
LG Dire Wolves,Bombers,20180204,3,1.05,N/a,8.52,http://www.oddsportal.com/esports/australia/league-of-legends-oceanic-pro-league/lg-dire-wolves-league-of-legends-bombers-league-of-legends-Sd1fpWmc/
Avant Garde,Legacy eSports,20180204,3,6.73,N/a,1.09,http://www.oddsportal.com/esports/australia/league-of-legends-oceanic-pro-league/avant-garde-league-of-legends-legacy-esports-league-of-legends-QiNBLnBd/
ORDER,Sin Gaming,20180203,3,1.12,N/a,5.71,http://www.oddsportal.com/esports/australia/league-of-legends-oceanic-pro-league/order-league-of-legends-sin-gaming-league-of-legends-n1O7MSej/
Chiefs Esports Club,Tectonic,20180203,3,1.04,N/a,9.24,http://www.oddsportal.com/esports/australia/league-of-legends-oceanic-pro-league/chiefs-esports-club-league-of-legends-tectonic-league-of-legends-vyP3N8tp/
Tectonic,Legacy eSports,20180128,3,6.76,N/a,1.08,http://www.oddsportal.com/esports/australia/league-of-legends-oceanic-pro-league/tectonic-league-of-legends-legacy-esports-league-of-legends-2B1zuyCH/
LG Dire Wolves,Sin Gaming,20180128,3,1.10,N/a,6.15,http://www.oddsportal.com/esports/australia/league-of-legends-oceanic-pro-league/lg-dire-wolves-league-of-legends-sin-gaming-league-of-legends-KnCVuHdB/
Chiefs Esports Club,Avant Garde,20180127,3,1.42,N/a,2.68,http://www.oddsportal.com/esports/australia/league-of-legends-oceanic-pro-league/chiefs-esports-club-league-of-legends-avant-garde-league-of-legends-6q8Rtcs5/
ORDER,Bombers,20180127,3,1.02,N/a,14.50,http://www.oddsportal.com/esports/australia/league-of-legends-oceanic-pro-league/order-league-of-legends-bombers-league-of-legends-CM8NswSb/
Avant Garde,Bombers,20180121,3,1.46,N/a,2.77,http://www.oddsportal.com/esports/australia/league-of-legends-oceanic-pro-league/avant-garde-league-of-legends-bombers-league-of-legends-YV9JrJCh/
Legacy eSports,Sin Gaming,20180121,3,1.20,N/a,4.67,http://www.oddsportal.com/esports/australia/league-of-legends-oceanic-pro-league/legacy-esports-league-of-legends-sin-gaming-league-of-legends-GfFEqacn/
ORDER,Tectonic,20180120,3,1.04,N/a,11.20,http://www.oddsportal.com/esports/australia/league-of-legends-oceanic-pro-league/order-league-of-legends-tectonic-league-of-legends-x4GApurt/
LG Dire Wolves,Chiefs Esports Club,20180120,3,1.49,N/a,2.67,http://www.oddsportal.com/esports/australia/league-of-legends-oceanic-pro-league/lg-dire-wolves-league-of-legends-chiefs-esports-club-league-of-legends-0ru5PeCU/
LG Dire Wolves,Chiefs Esports Club,20170902,5,1.43,N/a,2.85,http://www.oddsportal.com/esports/australia/league-of-legends-oceanic-pro-league-2017/lg-dire-wolves-league-of-legends-chiefs-esports-club-league-of-legends-rXwmr2J3/
Legacy eSports,Chiefs Esports Club,20170827,5,1.87,N/a,1.95,http://www.oddsportal.com/esports/australia/league-of-legends-oceanic-pro-league-2017/legacy-esports-league-of-legends-chiefs-esports-club-league-of-legends-Yaa0rhoS/
Chiefs Esports Club,Sin Gaming,20170826,5,1.59,N/a,2.39,http://www.oddsportal.com/esports/australia/league-of-legends-oceanic-pro-league-2017/chiefs-esports-club-league-of-legends-sin-gaming-league-of-legends-l4LeyZqM/
Sin Gaming,Avant Garde,20170825,5,1.34,N/a,3.29,http://www.oddsportal.com/esports/australia/league-of-legends-oceanic-pro-league-2017/sin-gaming-league-of-legends-avant-garde-league-of-legends-bkHxKNO3/
Chiefs Esports Club,LG Dire Wolves,20170820,3,2.90,N/a,1.42,http://www.oddsportal.com/esports/australia/league-of-legends-oceanic-pro-league-2017/chiefs-esports-club-league-of-legends-lg-dire-wolves-league-of-legends-Io8Rzxor/
Tainted Minds,Avant Garde,20170820,3,5.94,N/a,1.14,http://www.oddsportal.com/esports/australia/league-of-legends-oceanic-pro-league-2017/tainted-minds-league-of-legends-avant-garde-league-of-legends-QgGauIxR/
Team Regicide,Abyss Esports,20170819,3,3.36,N/a,1.33,http://www.oddsportal.com/esports/australia/league-of-legends-oceanic-pro-league-2017/team-regicide-league-of-legends-abyss-esports-league-of-legends-n3HetbNK/
Legacy eSports,Sin Gaming,20170819,3,1.39,N/a,3.04,http://www.oddsportal.com/esports/australia/league-of-legends-oceanic-pro-league-2017/legacy-esports-league-of-legends-sin-gaming-league-of-legends-4vSjsv8E/
LG Dire Wolves,Abyss Esports,20170813,3,1.08,N/a,8.37,http://www.oddsportal.com/esports/australia/league-of-legends-oceanic-pro-league-2017/lg-dire-wolves-league-of-legends-abyss-esports-league-of-legends-jyOnrKh8/
Team Regicide,Chiefs Esports Club,20170813,3,11.62,N/a,1.04,http://www.oddsportal.com/esports/australia/league-of-legends-oceanic-pro-league-2017/team-regicide-league-of-legends-chiefs-esports-club-league-of-legends-xYZ4JzG7/
Avant Garde,Sin Gaming,20170812,3,-,N/a,-,http://www.oddsportal.com/esports/australia/league-of-legends-oceanic-pro-league-2017/avant-garde-league-of-legends-sin-gaming-league-of-legends-bsy1KG01/
Tainted Minds,Legacy eSports,20170812,3,8.22,N/a,1.08,http://www.oddsportal.com/esports/australia/league-of-legends-oceanic-pro-league-2017/tainted-minds-league-of-legends-legacy-esports-league-of-legends-WK44Ldoe/
Tainted Minds,Sin Gaming,20170806,3,9.08,N/a,1.07,http://www.oddsportal.com/esports/australia/league-of-legends-oceanic-pro-league-2017/tainted-minds-league-of-legends-sin-gaming-league-of-legends-hU50MxWl/
Chiefs Esports Club,Abyss Esports,20170806,3,1.14,N/a,5.80,http://www.oddsportal.com/esports/australia/league-of-legends-oceanic-pro-league-2017/chiefs-esports-club-league-of-legends-abyss-esports-league-of-legends-b76dNIGr/
LG Dire Wolves,Team Regicide,20170805,3,1.02,N/a,14.87,http://www.oddsportal.com/esports/australia/league-of-legends-oceanic-pro-league-2017/lg-dire-wolves-league-of-legends-team-regicide-league-of-legends-nVwTvonG/
Avant Garde,Legacy eSports,20170805,3,6.54,N/a,1.12,http://www.oddsportal.com/esports/australia/league-of-legends-oceanic-pro-league-2017/avant-garde-league-of-legends-legacy-esports-league-of-legends-46lOuRW9/
Sin Gaming,Chiefs Esports Club,20170730,3,2.21,N/a,1.68,http://www.oddsportal.com/esports/australia/league-of-legends-oceanic-pro-league-2017/sin-gaming-league-of-legends-chiefs-esports-club-league-of-legends-QFkKt7H3/
LG Dire Wolves,Tainted Minds,20170730,3,1.02,N/a,14.17,http://www.oddsportal.com/esports/australia/league-of-legends-oceanic-pro-league-2017/lg-dire-wolves-league-of-legends-tainted-minds-league-of-legends-dtoGsm2c/
Avant Garde,Chiefs Esports Club,20170729,3,3.07,N/a,1.38,http://www.oddsportal.com/esports/australia/league-of-legends-oceanic-pro-league-2017/avant-garde-league-of-legends-chiefs-esports-club-league-of-legends-IknCrTni/
Tainted Minds,Abyss Esports,20170729,3,3.07,N/a,1.38,http://www.oddsportal.com/esports/australia/league-of-legends-oceanic-pro-league-2017/tainted-minds-league-of-legends-abyss-esports-league-of-legends-Gp8TJqAj/
Legacy eSports,LG Dire Wolves,20170728,3,2.34,N/a,1.61,http://www.oddsportal.com/esports/australia/league-of-legends-oceanic-pro-league-2017/legacy-esports-league-of-legends-lg-dire-wolves-league-of-legends-4A4PKPfp/
