20180202;3;;;;EVOS Esports;GIGABYTE Marines;1-0,1-0;Stark,YiJin,Warzone,Slay,RonOP:Stark,YiJin,Warzone,Slay,RonOP;Zeros,KrissKyle,Zeroday,Noway,Archie:Zeros,KrissKyle,Zeroday,Noway,Archie;VN;blue,red;VCS Spring 2018;EVOS Esports,GIGABYTE Marines
20180202;3;;;;Ultimate;Young Generation;1-0,0-1,1-0;Calm,Spot,Blazes,Zin,CBL:Calm,Spot,Blazes,Zin,CBL:Calm,Spot,Blazes,Zin,CBL;Ren,Venus,Naul,BigKoro,Palette:Ren,Venus,Naul,BigKoro,Palette:Ren,Venus,Naul,BigKoro,Palette;VN;blue,blue,blue;VCS Spring 2018;Ultimate,Young Generation,Ultimate
20180202;1;1.71;N/a;2.15;Fnatic;Misfits;0-1;sOAZ,Broxah,Caps,Rekkles,Hylissang;Alphari,Maxlore,Sencux,Hans sama,Mikyx;EUW;red;EU LCS Spring 2018;Fnatic
20180202;1;1.63;N/a;2.31;G2 Esports;Splyce;1-0;Wunder,Jankos,Perkz,Hjarnan,Wadid;Odoamne,Xerxe,Nisqy,Kobbe,KaSing;EUW;blue;EU LCS Spring 2018;G2 Esports
20180202;1;2.15;N/a;1.71;FC Schalke 04;Vitality;0-1;Vizicsacsi,Pride,Nukeduck,UpseT,VandeR;Cabochard,Gilius,Jiizuke,Attila,Jacktroll;EUW;red;EU LCS Spring 2018;FC Schalke 04
20180202;1;1.63;N/a;2.31;Giants;ROCCAT;1-0;Ruin,Djoko,Betsy,Steeelback,Targamas;Profit,Memento,Blanc,HeaQ,Norskeren;EUW;blue;EU LCS Spring 2018;Giants
20180202;1;1.91;N/a;1.91;Unicorns Of Love;H2k-Gaming;1-0;Whiteknight,Kold,Exileh,Samux,Totoro;SmittyJ,Santorin,Caedrel,Sheriff,Promisq;EUW;blue;EU LCS Spring 2018;Unicorns Of Love
20180202;3;6.54;N/a;1.12;Vici Gaming;EDward Gaming;1-0,0-1,0-1;Loong,Crash,Easyhoon,Martin,Caveman:Loong,Crash,Easyhoon,Martin,Caveman:Loong,Crash,Easyhoon,Martin,Caveman;Ray,Haro,Scout,iBOY,Meiko:Ray,Haro,Scout,iBOY,Meiko:Ray,Haro,Scout,iBOY,Meiko;CN;blue,blue,red;LPL Spring 2018;Vici Gaming,EDward Gaming,Vici Gaming
20180202;3;2.29;N/a;1.64;FunPlus Phoenix;Bilibili Gaming;0-1,0-1;Gimgoon,Pepper,Bing,Lwx,Crisp:Gimgoon,Pepper,Bing,Lwx,Crisp;AmazingJ,Sks,Athena,jinjiao,Road:AmazingJ,Sks,Athena,jinjiao,Road;CN;red,blue;LPL Spring 2018;FunPlus Phoenix,Bilibili Gaming
20180202;3;2.96;N/a;1.41;MAD Team;Machi17;1-0,1-0;Liang,Benny,Uniboy,Breeze,K:Liang,Benny,Uniboy,Breeze,K;3z,Move,Apex,Deul,Dreamer:3z,Move,Apex,Deul,Dreamer;TW;blue,red;LMS Spring 2018;MAD Team,Machi17
20180202;3;1.12;N/a;6.56;J Team;Team Afro;0-1,1-0,1-0;Rest,Breaker,Fofo,Lilv,Ysera:Rest,Breaker,Fofo,Lilv,Ysera:Rest,Breaker,Fofo,Lilv,Ysera;Ninuo,Epic,CooN,Dalka,Suki:Ninuo,Epic,CooN,Dalka,Suki:Ninuo,Epic,CooN,Dalka,Suki;TW;red,blue,blue;LMS Spring 2018;J Team,J Team,J Team
20180202;1;;;;CLG Academy;FlyQuest Academy;0-1;FallenBandit,OmarGod,Shadow,Zag,Fill;Ngo,AnDa,Pekin Woof,Erry,JayJ;NA;red;NA Academy Spring 2018;CLG Academy
20180202;1;;;;Clutch Gaming Academy;Cloud 9 Academy;1-0;Maxtrobo,Moon,Sun,Eclipse,Vulcan;Shiro,Wiggily,Goldenglue,Keith,Zeyzal;NA;blue;NA Academy Spring 2018;Clutch Gaming Academy
20180202;1;;;;Golden Guardians Academy;Team Liquid Academy;0-1;Jenkins,Potluck,bobqin,Jurassiq,Xpecial;V1PER,Hard,Mickey,Shoryu,Joey;NA;red;NA Academy Spring 2018;Golden Guardians Academy
20180202;1;;;;TSM Academy;100 Thieves Academy;1-0;Brandini,Grigne,Ablazeolive,Mr Rallez,Shady;kaizen,Kitzuo,Linsanity,Rikara,Whyin;NA;blue;NA Academy Spring 2018;TSM Academy
20180202;1;;;;Echo Fox Academy;OpTic Gaming Academy;0-1;Allorim,TheOddOrange,Damonte,Lost,PapaChau;Dhokla,Kadir,Palafox,Andy,Winter;NA;red;NA Academy Spring 2018;Echo Fox Academy
20180203;1;;;;Infinity eSports;Predators eSports;1-0;Relic,SolidSnake,Cotopaco,Fuzzy,Baula;Mantarray,Acerola,Icytower,GeneralMint,Arce;LAN;blue;LLN Spring 2018;Infinity eSports
