/sezze-itf/2018/wta-women/?type=double,clay,Sezze ITF 2018 (Italy)
/portoroz-challenger/2018/atp-men/?type=double,hard,Portoroz challenger 2018 (Slovenia)
/san-jose-wta/2018/wta-women/,hard,San Jose WTA 2018 (USA)
/washington/2018/wta-women/,hard,Washington 2018 (USA)
/lexington-itf/2018/wta-women/,hard,Lexington ITF 2018 (USA)
/bad-saulgau-itf/2018/wta-women/,clay,Bad Saulgau ITF 2018 (Germany)
/fort-worth-itf/2018/wta-women/,hard,Fort Worth ITF 2018 (USA)
/dublin-itf/2018/wta-women/,hard,Dublin ITF 2018 (Ireland)
/savitaipale-itf/2018/wta-women/,clay,Savitaipale ITF 2018 (Finland)
/san-jose-wta/2018/wta-women/?type=double,hard,San Jose WTA 2018 (USA)
/washington/2018/wta-women/?type=double,hard,Washington 2018 (USA)
/lexington-itf/2018/wta-women/?type=double,hard,Lexington ITF 2018 (USA)
/bad-saulgau-itf/2018/wta-women/?type=double,clay,Bad Saulgau ITF 2018 (Germany)
/washington/2018/atp-men/,hard,Washington 2018 (USA)
/los-cabos/2018/atp-men/,hard,Los Cabos 2018 (Mexico)
/chengdu-challenger/2018/atp-men/,hard,Chengdu challenger 2018 (China)
/segovia-challenger/2018/atp-men/,hard,Segovia challenger 2018 (Spain)
/lexington-challenger/2018/atp-men/,hard,Lexington challenger 2018 (USA)
/sopoty-challenger/2018/atp-men/,clay,Sopoty challenger 2018 (Poland)
/liberec-challenger/2018/atp-men/,clay,Liberec challenger 2018 (Czech Republic)
/washington/2018/atp-men/?type=double,hard,Washington 2018 (USA)
/los-cabos/2018/atp-men/?type=double,hard,Los Cabos 2018 (Mexico)
/lexington-challenger/2018/atp-men/?type=double,hard,Lexington challenger 2018 (USA)
/sopoty-challenger/2018/atp-men/?type=double,clay,Sopoty challenger 2018 (Poland)
/el-espinar-itf/2018/wta-women/,hard,El Espinar ITF 2018 (Spain)
/woking-itf/2018/wta-women/,hard,Woking ITF 2018 (Great Britain)
/biella-itf/2018/wta-women/,clay,Biella ITF 2018 (Italy)
/kazan-3-itf/2018/wta-women/,clay,Kazan 3 ITF 2018 (Russia)
/fort-worth-itf/2018/wta-women/?type=double,hard,Fort Worth ITF 2018 (USA)
/woking-itf/2018/wta-women/?type=double,hard,Woking ITF 2018 (Great Britain)
/dublin-itf/2018/wta-women/?type=double,hard,Dublin ITF 2018 (Ireland)
/savitaipale-itf/2018/wta-women/?type=double,clay,Savitaipale ITF 2018 (Finland)
/chengdu-challenger/2018/atp-men/?type=double,hard,Chengdu challenger 2018 (China)
/segovia-challenger/2018/atp-men/?type=double,hard,Segovia challenger 2018 (Spain)
/liberec-challenger/2018/atp-men/?type=double,clay,Liberec challenger 2018 (Czech Republic)
/el-espinar-itf/2018/wta-women/?type=double,hard,El Espinar ITF 2018 (Spain)
/biella-itf/2018/wta-women/?type=double,clay,Biella ITF 2018 (Italy)
/kazan-3-itf/2018/wta-women/?type=double,clay,Kazan 3 ITF 2018 (Russia)
/atlanta/2018/atp-men/?type=double,hard,Atlanta 2018 (USA)
/hamburg/2018/atp-men/,clay,Hamburg 2018 (Germany)
/atlanta/2018/atp-men/,hard,Atlanta 2018 (USA)
/gstaad/2018/atp-men/,clay,Gstaad 2018 (Switzerland)
/granby-challenger/2018/atp-men/,hard,Granby challenger 2018 (Canada)
/binghamton-challenger/2018/atp-men/,hard,Binghamton challenger 2018 (USA)
/padova-challenger/2018/atp-men/,clay,Padova challenger 2018 (Italy)
/prague-2-challenger/2018/atp-men/,clay,Prague 2 challenger 2018 (Czech Republic)
/tampere-challenger/2018/atp-men/,clay,Tampere challenger 2018 (Finland)
/hamburg/2018/atp-men/?type=double,clay,Hamburg 2018 (Germany)
/gstaad/2018/atp-men/?type=double,clay,Gstaad 2018 (Switzerland)
/binghamton-challenger/2018/atp-men/?type=double,hard,Binghamton challenger 2018 (USA)
/padova-challenger/2018/atp-men/?type=double,clay,Padova challenger 2018 (Italy)
/moscow-2-wta/2018/wta-women/,clay,Moscow 2 WTA 2018 (Russia)
/nanchang/2018/wta-women/,hard,Nanchang 2018 (China)
/prague-3-itf/2018/wta-women/,clay,Prague 3 ITF 2018 (Czech Republic)
/ashland-itf/2018/wta-women/,hard,Ashland ITF 2018 (USA)
/granby-itf/2018/wta-women/,hard,Granby ITF 2018 (Canada)
/horb-itf/2018/wta-women/,clay,Horb ITF 2018 (Germany)
/porto-itf/2018/wta-women/,clay,Porto ITF 2018 (Portugal)
/evansville-itf/2018/wta-women/,hard,Evansville ITF 2018 (USA)
/les-contamines-itf/2018/wta-women/,hard,Les Contamines ITF 2018 (France)
